GEOID,EvicTotal,HH_Median,Population,Male,Female,Median_age,White,Black,Asian,Hispanic,Households,Family_HH,Employed,Per_capita,Health_Ins,NoHealth_Ins,Pct_in_pov,Travel_time,HU_Occupied,HU_Vacant,Homeowner,Rental_vacancy,No_telepho,higherEduc,Urban_Rura
47157021137,134,64580,8299,4309,3990,33.5,4663,2575,402,408,3394,2041,4348,33243,7818,481,3.08672,14,3394,227,2.169,6.121,56,4537,Urban
47157021530,2,129375,5396,2540,2856,44,4530,308,479,0,1911,1581,2589,65274,5296,100,0,61,1911,44,2.068,0,12,3201,Urban
47157021611,5,93083,6670,3506,3164,40.4,5912,333,127,324,2206,2018,3562,35563,6336,228,7.4331,37,2206,0,0,0,73,3495,Urban
47157004300,20,90405,2312,1120,1192,37.8,1401,766,52,69,1252,479,1675,61923,2218,94,3.34029,14,1252,199,0.503,13.316,0,1819,Mixed
47157009901,86,28326,3173,1540,1633,29.2,844,1687,0,322,1029,704,1100,15193,2641,532,42.3295,0,1029,223,0,5.518,23,798,Mixed
47157020644,64,69194,9529,4501,5028,36.7,4116,4894,65,535,3350,2423,5151,28964,8634,846,3.87949,68,3350,233,1.238,2.049,73,4657,Mixed
47157020643,14,97930,8747,4285,4462,42.2,6229,2019,204,315,2969,2457,4287,37175,8198,504,0.732601,12,2969,164,0,14.139,13,4516,Urban
47157021334,182,44436,4107,1840,2267,34.2,1023,2892,150,84,1677,875,2118,25871,3428,464,5.37143,0,1677,221,7.921,10.248,41,1896,Urban
47157021333,134,60060,4663,2445,2218,31.8,1792,2464,189,230,1624,1038,2458,30858,4245,418,10.501,45,1624,123,0.795,9.798,10,2606,Urban
47157021139,3,115491,4187,1973,2214,48.4,2538,1108,488,125,1435,1260,2176,52827,3839,173,1.98413,23,1435,77,0,15.909,7,2517,Mixed
47157022500,129,35061,5150,2497,2653,32.6,812,4018,0,801,1674,1243,1823,19236,4158,992,24.2156,0,1674,328,0,0,51,1635,Urban
47157020531,112,49909,5672,2638,3034,26.2,975,4348,0,989,1683,1293,2546,16788,4770,902,15.6226,6,1683,174,0,8.658,26,2092,Mixed
47157020532,182,41378,6583,3198,3385,37.2,1280,4981,58,124,2310,1252,3231,18463,5579,780,12.0607,12,2310,236,0,11.599,35,2807,Mixed
47157020832,20,118140,9850,4428,5422,42.8,7151,1511,897,539,3083,2697,4214,40603,9089,309,4.33815,52,3083,0,0,0,20,5465,Mixed
47157021142,69,64036,3958,1863,2095,39.1,2389,1210,37,71,1731,950,2539,40081,3689,269,2.21053,17,1731,80,0,2.719,11,2503,Urban
47157011700,24,26786,1399,682,717,43.6,60,1339,0,0,568,226,358,15225,1135,127,34.5133,7,568,115,0,2.069,8,476,Urban
47157020900,15,102457,10193,5136,5057,34.3,8367,1491,75,372,2915,2700,5005,33313,9861,182,2.62963,74,2915,28,0,0,34,5069,Mixed
